item_code,brand,item_GTIN,product_group_code,item_description,description2,description3,unit,item_status,item_condition,abc_class,FLC_page_no,internet_flag,internet_tree,new_internet_tree,reorder_policy,standard_cost,replacement_cost,sales_cost,region,price0exGST,qty_break1,price1exGST,qty_break2,price2exGST,qty_break3,price3exGST,qty_break4,price4exGST,whse,bin_loc,on_hand,current_orders,back_orders,on_order,minimum_stock,maximum_stock,avg_mth_demand,avg_cost,supplier,supplier_item,priority,unit1,conv_factor,pack_qty,EOQ,last_buy_date,last_buy_price,tax_code
492634,ACO,1902208,1200,"NOBO CLIPDOWN POSTER FRAME","A0 841x1189mm ALUMINIUM SILVER",,EACH,S,,8,999,,,,Y,0,0,0,,317.65,99999999,317.65,99999999,317.65,99999999,317.65,99999999,317.65,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,1902208,1,EACH,1,1,1,1899-12-31,144.08,
492634,ACO,1902208,1200,"NOBO CLIPDOWN POSTER FRAME","A0 841x1189mm ALUMINIUM SILVER",,EACH,S,,8,999,,,,Y,0,0,0,,317.65,99999999,317.65,99999999,317.65,99999999,317.65,99999999,317.65,JAY,ZZZZ,0,0,0,0,0,0,0,0,EOS,,9,EACH,1,1,1,2014-09-09,126.93,
492640,ACO,1902397,1200,"NOBO PROJECTION SCREEN 4:3","TRIPOD STAND 2000x1513mm","2500mm DIAGONAL",EACH,S,,8,,,,,Y,0,0,0,,291.67,99999999,291.67,99999999,291.67,99999999,291.67,99999999,291.67,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,1902397,1,EACH,1,1,1,2018-08-31,175,
492647,ACO,192010,1200,"NOBO ALUMINIUM POSTER FRAME A3",,,EACH,S,,8,,N,,,1,0,0,0,,69.01,2,64,3,46.05,4,40.19,999999999,40.19,JAY,ZZZZ,0,0,0,0,0,0,0,25.6,ACO,1902213,1,EACH,1,1,1,2016-04-19,27.65,
492660,ACO,1980199,1100,"COLOURHIDE DESIGNER H!LIGHTERS","ASSORTED PK4",,PACK,S,,8,,,,,1,0,0,0,,6.02,99999999,6.02,99999999,6.02,99999999,6.02,99999999,6.02,JAY,ZZZZ,0,0,0,0,0,0,0,0,ACO,1980199,9,PACK,1,8,8,1899-12-31,3.1,
492677,ACO,200014,1030,"ACCO MOUSE PAD SUPER THIN",BLUE,,EACH,S,,6,2015-50,,7K009052,1A01,1,0,0,0,,5.73,2,5.25,4,4.84,6,4.5,999999999,4.5,JAY,FC46,2,0,0,0,1.743,3.486,1.8333,3.58,ACO,200014,9,EACH,1,10,10,2018-02-07,3.15,
492677,ACO,200014,1030,"ACCO MOUSE PAD SUPER THIN",BLUE,,EACH,S,,6,2015-50,,7K009052,1A01,1,0,0,0,,5.73,2,5.25,4,4.84,6,4.5,999999999,4.5,JAY,FC46,2,0,0,0,1.743,3.486,1.8333,3.58,SSS,40200531,1,EACH,1,1,1,2018-07-05,3.58,
492679,ACO,2002801,1120,"COLOURHIDE A4 REFILLABLE","DISPLAY BOOK 20 POCKET BLUE",PK10,PACK,S,,8,,,,,Y,0,0,0,,37.58,99999999,37.58,99999999,37.58,99999999,37.58,99999999,37.58,JAY,ZZZZ,0,0,0,0,0,0,0,2.21,ACO,2002801,1,EACH,1,10,10,2015-09-09,2.52,
492691,ACO,2004301,1120,"MARBIG ULTRA LETTER FILES A4","BLUE PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,YZ92,1,0,0,0,0,0,0.0833,31,ACO,2004301,1,PACK,1,1,1,2018-04-23,31,
492692,ACO,2004303,1120,"MARBIG ULTRA LETTER FILES A4","RED PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,ZZZZ,0,0,0,0,0,0,0,30,ACO,2004303,1,PACK,1,1,1,1899-12-31,31,
492692,ACO,2004303,1120,"MARBIG ULTRA LETTER FILES A4","RED PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,ZZZZ,0,0,0,0,0,0,0,30,GNS,24225,9,PACK,1,1,1,1899-12-31,39,
492692,ACO,2004303,1120,"MARBIG ULTRA LETTER FILES A4","RED PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,ZZZZ,0,0,0,0,0,0,0,30,SSS,10408976,9,BOX,1,1,1,2015-06-19,30,
492693,ACO,2004304,1120,"% MARBIG ULTRA LETTER FILE A4",GREEN,"********* CLEARANCE *********",EACH,S,,8,,Y,,3003,1,0,0,0,,0.79,100,0.65,200,0.65,500,0.56,1000,0.55,JAY,ID24,173,0,0,0,0,0,0.9091,0.31,ACO,2004304,1,EACH,1,100,100,2018-03-09,0.31,
492694,ACO,2004312,1120,"MARBIG ULTRA LETTER FILES A4","CLEAR PK100",,PACK,S,,6,,Y,,3003,1,0,0,0,,58,2,52.73,4,48.33,6,44.62,999999999,44.62,JAY,JB38,4,0,0,0,3.675,7.35,4.25,31.6786,ACO,2004312,1,PACK,1,1,1,2018-12-21,31,
492694,ACO,2004312,1120,"MARBIG ULTRA LETTER FILES A4","CLEAR PK100",,PACK,S,,6,,Y,,3003,1,0,0,0,,58,2,52.73,4,48.33,6,44.62,999999999,44.62,JAY,JB38,4,0,0,0,3.675,7.35,4.25,31.6786,DOR,,9,PACK,1,1,1,2018-11-07,40,
492694,ACO,2004312,1120,"MARBIG ULTRA LETTER FILES A4","CLEAR PK100",,PACK,S,,6,,Y,,3003,1,0,0,0,,58,2,52.73,4,48.33,6,44.62,999999999,44.62,JAY,JB38,4,0,0,0,3.675,7.35,4.25,31.6786,OCS,,9,PACK,1,1,1,2018-02-15,47.45,
492694,ACO,2004312,1120,"MARBIG ULTRA LETTER FILES A4","CLEAR PK100",,PACK,S,,6,,Y,,3003,1,0,0,0,,58,2,52.73,4,48.33,6,44.62,999999999,44.62,JAY,JB38,4,0,0,0,3.675,7.35,4.25,31.6786,SSS,10405101,2,BOX,1,1,1,2018-11-06,34.8,
492695,ACO,2004319,1120,"MARBIG ULTRA LETTER FILES A4","PURPLE PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,ZZZZ,0,0,0,0,0,0,0,29,ACO,2004319,1,PACK,1,1,1,2016-05-11,31,
492695,ACO,2004319,1120,"MARBIG ULTRA LETTER FILES A4","PURPLE PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,ZZZZ,0,0,0,0,0,0,0,29,GNS,24224,9,PACK,1,1,1,1899-12-31,39,
492695,ACO,2004319,1120,"MARBIG ULTRA LETTER FILES A4","PURPLE PK100",,PACK,S,,8,999,,,,Y,0,0,0,,58,2,52.73,4,48.33,6,44.62,99999999,58,JAY,ZZZZ,0,0,0,0,0,0,0,29,SSS,10408976,9,BOX,1,1,1,1899-12-31,30,
492697,ACO,2004912,1120,"MARBIG A4 LETTER FILES","GLASS CLEAR PK10",,PACK,S,,8,,,,,Y,0,0,0,,8.58,10,8.31,20,7.85,30,7.1,99999999,8.58,JAY,ZZZZ,0,0,0,0,0,0,0,3.3,ACO,2004912,2,PACK,1,10,10,2017-09-18,3.49,
